GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
22200388,1610612754,1610612751,133,136,0.553,0.75,0.477,30,30,0.52,0.719,0.321,19,59
22200389,1610612764,1610612746,107,114,0.435,0.895,0.471,24,50,0.426,0.938,0.396,22,42
22200390,1610612739,1610612760,110,102,0.471,0.692,0.375,25,48,0.458,0.8,0.345,25,40
22200391,1610612741,1610612742,144,115,0.635,0.708,0.559,33,44,0.456,0.846,0.25,24,37
22200392,1610612744,1610612738,123,107,0.511,0.8,0.333,26,53,0.437,0.731,0.3,17,39
22200393,1610612743,1610612762,115,110,0.547,0.813,0.308,28,39,0.459,0.81,0.366,20,42
22200394,1610612757,1610612750,124,118,0.518,0.893,0.382,20,45,0.542,0.75,0.435,22,28
22200377,1610612766,1610612752,102,121,0.44,0.786,0.231,16,45,0.441,0.867,0.382,25,48
22200378,1610612754,1610612764,121,111,0.506,0.85,0.439,23,40,0.532,0.76,0.345,25,38
22200379,1610612753,1610612761,113,109,0.592,0.905,0.385,24,43,0.424,0.818,0.286,23,33
22200380,1610612751,1610612737,120,116,0.542,0.81,0.433,30,38,0.495,0.875,0.345,21,38
22200381,1610612739,1610612758,95,106,0.43,0.773,0.333,20,36,0.53,0.625,0.485,21,38
22200382,1610612755,1610612747,133,122,0.533,0.864,0.45,30,42,0.5,0.767,0.355,29,37
22200383,1610612763,1610612765,114,103,0.484,0.531,0.281,30,48,0.4,0.741,0.314,23,47
22200384,1610612740,1610612756,128,117,0.511,0.8,0.296,27,44,0.5,0.692,0.5,30,37
22200385,1610612762,1610612750,108,118,0.433,0.708,0.295,22,40,0.532,0.769,0.4,30,44
22200386,1610612742,1610612749,105,106,0.466,0.417,0.325,21,43,0.437,0.826,0.344,27,51
22200374,1610612748,1610612746,115,110,0.511,0.786,0.375,24,43,0.463,0.905,0.472,24,43
22200375,1610612759,1610612745,118,109,0.554,0.867,0.361,25,38,0.449,0.733,0.345,23,42
22200376,1610612757,1610612743,120,121,0.484,1,0.4,30,38,0.516,0.682,0.4,28,48
22200363,1610612753,1610612746,116,111,0.421,0.903,0.286,20,53,0.411,0.692,0.366,26,53
22200364,1610612751,1610612766,122,116,0.57,0.75,0.387,33,39,0.534,0.522,0.417,25,40
22200365,1610612752,1610612737,113,89,0.446,0.917,0.472,26,55,0.376,0.792,0.167,16,39
22200366,1610612761,1610612747,126,113,0.443,0.833,0.279,25,54,0.425,0.914,0.212,16,46
22200367,1610612741,1610612764,115,111,0.5,0.882,0.435,29,41,0.488,0.69,0.29,22,38
22200368,1610612763,1610612760,123,102,0.511,0.813,0.368,32,50,0.37,0.87,0.368,25,48
22200369,1610612749,1610612758,126,113,0.479,0.833,0.424,34,50,0.473,0.938,0.316,19,40
22200370,1610612750,1610612754,121,115,0.473,0.926,0.348,25,51,0.481,0.75,0.452,22,31
22200371,1610612740,1610612765,104,98,0.459,0.783,0.296,21,50,0.389,0.813,0.357,17,42
22200372,1610612762,1610612744,124,123,0.535,0.81,0.429,26,40,0.459,0.76,0.333,26,42
22200373,1610612756,1610612738,98,125,0.398,0.842,0.25,19,49,0.485,0.846,0.356,29,53
22200360,1610612739,1610612747,116,102,0.516,0.765,0.259,25,44,0.427,0.833,0.167,16,43
22200361,1610612748,1610612765,96,116,0.429,0.769,0.313,21,40,0.494,0.733,0.463,27,40
22200362,1610612743,1610612742,115,116,0.513,0.786,0.406,30,36,0.5,0.871,0.472,27,35
22200352,1610612766,1610612746,117,119,0.48,0.647,0.353,29,49,0.484,0.667,0.417,30,47
22200353,1610612753,1610612749,102,109,0.366,0.897,0.25,21,52,0.447,0.769,0.325,31,45
22200354,1610612737,1610612760,114,121,0.431,0.765,0.342,24,54,0.453,0.958,0.353,25,49
22200355,1610612761,1610612738,110,116,0.459,0.733,0.357,19,46,0.489,0.714,0.361,27,49
22200356,1610612745,1610612755,132,123,0.447,0.773,0.359,19,51,0.448,0.778,0.472,23,39
22200357,1610612763,1610612748,101,93,0.467,1,0.25,23,41,0.392,0.773,0.35,23,45
22200358,1610612742,1610612756,130,111,0.524,0.846,0.488,23,41,0.44,0.692,0.351,28,41
22200359,1610612744,1610612754,104,112,0.404,0.789,0.295,26,47,0.478,0.611,0.385,26,47
22200344,1610612740,1610612743,121,106,0.506,0.778,0.423,29,36,0.506,0.667,0.258,24,43
22200345,1610612759,1610612756,95,133,0.437,0.722,0.194,19,40,0.521,0.8,0.514,38,45
22200346,1610612751,1610612738,92,103,0.405,0.682,0.346,17,45,0.432,0.9,0.395,18,48
22200347,1610612765,1610612763,112,122,0.44,0.833,0.371,26,39,0.467,0.724,0.429,28,46
22200348,1610612752,1610612739,92,81,0.407,0.81,0.172,17,54,0.349,0.75,0.229,17,39
22200349,1610612764,1610612747,119,130,0.467,0.733,0.256,24,44,0.542,0.727,0.385,34,51
22200350,1610612758,1610612741,110,101,0.465,0.895,0.302,30,46,0.442,0.842,0.36,17,39
22200351,1610612757,1610612754,116,100,0.488,0.682,0.425,32,45,0.44,0.833,0.303,22,44
22200337,1610612752,1610612742,100,121,0.455,0.714,0.323,18,45,0.43,0.786,0.393,27,50
22200338,1610612746,1610612758,96,123,0.355,0.808,0.273,15,50,0.517,0.667,0.344,31,46
22200339,1610612766,1610612749,96,105,0.391,0.885,0.208,15,44,0.47,0.789,0.375,24,47
22200340,1610612761,1610612753,121,108,0.56,0.72,0.31,31,43,0.487,0.808,0.393,23,29
22200341,1610612750,1610612760,128,135,0.528,0.8,0.333,25,44,0.516,0.8,0.423,26,42
22200342,1610612744,1610612745,120,101,0.529,0.5,0.481,34,35,0.44,0.9,0.107,17,45
22200343,1610612762,1610612757,111,116,0.452,0.786,0.361,20,44,0.482,0.774,0.4,19,49
22200326,1610612766,1610612764,117,116,0.421,0.806,0.414,25,45,0.453,0.743,0.364,23,56
22200327,1610612737,1610612743,117,109,0.557,0.643,0.357,24,43,0.529,0.538,0.375,31,33
22200328,1610612738,1610612748,116,120,0.46,0.75,0.333,26,48,0.475,0.722,0.314,19,50
22200329,1610612751,1610612761,114,105,0.537,0.682,0.344,27,41,0.437,0.733,0.292,16,43
22200330,1610612739,1610612753,107,96,0.488,1,0.381,22,33,0.494,0.667,0.348,19,40
22200331,1610612749,1610612747,129,133,0.532,0.8,0.395,29,42,0.542,0.75,0.423,32,44
22200332,1610612763,1610612755,117,109,0.433,0.786,0.367,22,57,0.44,0.882,0.424,23,42
22200333,1610612759,1610612740,99,117,0.388,0.75,0.282,26,49,0.435,0.962,0.286,25,53
